visualization,field,description
ON RRP,amount_billions,"Total amount accepted in ON RRP operations (billions USD). Indicates the scale of liquidity absorption by the Fed."
ON RRP,participants,"Number of participants in ON RRP operations. Higher numbers may indicate broader market engagement."
ON RRP,rate,"Average rate for ON RRP operations. Reflects the cost of short-term secured funding."
Bank Reserves,reserves_billions,"Total bank reserves held at the Fed (billions USD). Key indicator of system liquidity."
Bank Reserves,required_reserves,"Estimated required reserves. Regulatory minimum banks must hold."
Bank Reserves,excess_reserves,"Estimated excess reserves. Amount above regulatory minimum, available for lending or other uses."
SOFR,sofr_rate,"SOFR (Secured Overnight Financing Rate). Benchmark rate for USD overnight repo market."
SOFR,volume_billions,"Transaction volume underlying SOFR (billions USD). Indicates market depth."
SOFR,rate_25th,"25th percentile rate. Lower quartile of observed rates."
SOFR,rate_75th,"75th percentile rate. Upper quartile of observed rates."
SRF,usage_billions,"Total usage of the Standing Repo Facility (billions USD). Indicates demand for Fed repo support."
SRF,participants,"Number of SRF participants. Higher numbers may indicate broader market engagement."
SRF,rate,"Average SRF rate. Cost of repo funding via the Fed."
Treasury,issuance_b,"Weekly Treasury issuance (billions USD). Indicates government borrowing and market supply."
