operationId,date,operationType,note,totalAmtAccepted,propositions,amount_billions,participants,rate
RP 102824 1,2024-10-28,Reverse Repo,,251032000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 24621000000}, {'counterpartyType': 'mmf', 'amtAccepted': 225861000000}, {'counterpartyType': 'pd', 'amtAccepted': 550000000}]",4490,89,5.7
RP 102924 1,2024-10-29,Reverse Repo,,244841000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 23178000000}, {'counterpartyType': 'mmf', 'amtAccepted': 221662000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4430,88,5.65
RP 103024 1,2024-10-30,Reverse Repo,,228946000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 20570000000}, {'counterpartyType': 'mmf', 'amtAccepted': 208376000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4370,87,5.6
RP 103124 1,2024-10-31,Reverse Repo,,201278000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 27655000000}, {'counterpartyType': 'mmf', 'amtAccepted': 173623000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4310,86,5.55
RP 110124 1,2024-11-01,Reverse Repo,,155476000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 19773000000}, {'counterpartyType': 'mmf', 'amtAccepted': 135702000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4250,85,5.5
RP 110424 1,2024-11-04,Reverse Repo,,171885000000,"[{'counterpartyType': 'bank', 'amtAccepted': 6000000}, {'counterpartyType': 'gse', 'amtAccepted': 23161000000}, {'counterpartyType': 'mmf', 'amtAccepted': 148718000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4540,84,5.45
RP 110524 1,2024-11-05,Reverse Repo,,144243000000,"[{'counterpartyType': 'bank', 'amtAccepted': 50000000}, {'counterpartyType': 'gse', 'amtAccepted': 23076000000}, {'counterpartyType': 'mmf', 'amtAccepted': 121117000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4480,83,5.4
RP 110624 1,2024-11-06,Reverse Repo,,177871000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 23720000000}, {'counterpartyType': 'mmf', 'amtAccepted': 154151000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4420,82,5.35
RP 110724 1,2024-11-07,Reverse Repo,,159002000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 21046000000}, {'counterpartyType': 'mmf', 'amtAccepted': 137956000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4360,81,5.3
RP 110824 1,2024-11-08,Reverse Repo,,163621000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 21809000000}, {'counterpartyType': 'mmf', 'amtAccepted': 141812000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4300,80,5.25
