date,reserves_billions,required_reserves,excess_reserves
2025-07-28,3300,264.0,3036.0
2025-07-29,3340,267.2,3072.8
2025-07-30,3380,270.4,3109.6
2025-07-31,3420,273.6,3146.4
2025-08-01,3460,276.8,3183.2000000000003
2025-08-02,3500,280.0,3220.0
2025-08-03,3540,283.2,3256.8
2025-08-04,3580,286.40000000000003,3293.6000000000004
2025-08-05,3620,289.6,3330.4
2025-08-06,3660,292.8,3367.2000000000003
2025-08-07,3700,296.0,3404.0
2025-08-08,3740,299.2,3440.8
2025-08-09,3780,302.40000000000003,3477.6000000000004
2025-08-10,3820,305.6,3514.4
2025-08-11,3860,308.8,3551.2000000000003
2025-08-12,3900,312.0,3588.0
2025-08-13,3940,315.2,3624.8
2025-08-14,3980,318.40000000000003,3661.6000000000004
2025-08-15,4020,321.6,3698.4
2025-08-16,4060,324.8,3735.2000000000003
2025-08-17,3300,264.0,3036.0
2025-08-18,3340,267.2,3072.8
2025-08-19,3380,270.4,3109.6
2025-08-20,3420,273.6,3146.4
2025-08-21,3460,276.8,3183.2000000000003
2025-08-22,3500,280.0,3220.0
2025-08-23,3540,283.2,3256.8
2025-08-24,3580,286.40000000000003,3293.6000000000004
2025-08-25,3620,289.6,3330.4
2025-08-26,3660,292.8,3367.2000000000003
2025-08-27,3700,296.0,3404.0
2025-08-28,3740,299.2,3440.8
2025-08-29,3780,302.40000000000003,3477.6000000000004
2025-08-30,3820,305.6,3514.4
2025-08-31,3860,308.8,3551.2000000000003
2025-09-01,3900,312.0,3588.0
2025-09-02,3940,315.2,3624.8
2025-09-03,3980,318.40000000000003,3661.6000000000004
2025-09-04,4020,321.6,3698.4
2025-09-05,4060,324.8,3735.2000000000003
2025-09-06,3300,264.0,3036.0
2025-09-07,3340,267.2,3072.8
2025-09-08,3380,270.4,3109.6
2025-09-09,3420,273.6,3146.4
2025-09-10,3460,276.8,3183.2000000000003
2025-09-11,3500,280.0,3220.0
2025-09-12,3540,283.2,3256.8
2025-09-13,3580,286.40000000000003,3293.6000000000004
2025-09-14,3620,289.6,3330.4
2025-09-15,3660,292.8,3367.2000000000003
2025-09-16,3700,296.0,3404.0
2025-09-17,3740,299.2,3440.8
2025-09-18,3780,302.40000000000003,3477.6000000000004
2025-09-19,3820,305.6,3514.4
2025-09-20,3860,308.8,3551.2000000000003
2025-09-21,3900,312.0,3588.0
2025-09-22,3940,315.2,3624.8
2025-09-23,3980,318.40000000000003,3661.6000000000004
2025-09-24,4020,321.6,3698.4
2025-09-25,4060,324.8,3735.2000000000003
2025-09-26,3300,264.0,3036.0
2025-09-27,3340,267.2,3072.8
2025-09-28,3380,270.4,3109.6
2025-09-29,3420,273.6,3146.4
2025-09-30,3460,276.8,3183.2000000000003
2025-10-01,3500,280.0,3220.0
2025-10-02,3540,283.2,3256.8
2025-10-03,3580,286.40000000000003,3293.6000000000004
2025-10-04,3620,289.6,3330.4
2025-10-05,3660,292.8,3367.2000000000003
2025-10-06,3700,296.0,3404.0
2025-10-07,3740,299.2,3440.8
2025-10-08,3780,302.40000000000003,3477.6000000000004
2025-10-09,3820,305.6,3514.4
2025-10-10,3860,308.8,3551.2000000000003
2025-10-11,3900,312.0,3588.0
2025-10-12,3940,315.2,3624.8
2025-10-13,3980,318.40000000000003,3661.6000000000004
2025-10-14,4020,321.6,3698.4
2025-10-15,4060,324.8,3735.2000000000003
2025-10-16,3300,264.0,3036.0
2025-10-17,3340,267.2,3072.8
2025-10-18,3380,270.4,3109.6
2025-10-19,3420,273.6,3146.4
2025-10-20,3460,276.8,3183.2000000000003
2025-10-21,3500,280.0,3220.0
2025-10-22,3540,283.2,3256.8
2025-10-23,3580,286.40000000000003,3293.6000000000004
2025-10-24,3620,289.6,3330.4
2025-10-25,3660,292.8,3367.2000000000003
2025-10-26,3700,296.0,3404.0
