date,amount_billions,participants,rate
2025-07-28,1900,75,5.25
2025-07-29,1980,76,5.26
2025-07-30,2060,77,5.27
2025-07-31,2140,78,5.28
2025-08-01,2220,79,5.29
2025-08-02,2300,80,5.3
2025-08-03,2380,81,5.31
2025-08-04,2110,82,5.32
2025-08-05,2190,83,5.33
2025-08-06,2270,84,5.34
2025-08-07,2350,85,5.25
2025-08-08,2430,86,5.26
2025-08-09,2510,87,5.27
2025-08-10,2590,88,5.28
2025-08-11,2320,89,5.29
2025-08-12,2400,90,5.3
2025-08-13,2480,91,5.31
2025-08-14,2050,92,5.32
2025-08-15,2130,93,5.33
2025-08-16,2210,94,5.34
2025-08-17,2290,95,5.25
2025-08-18,2020,96,5.26
2025-08-19,2100,97,5.27
2025-08-20,2180,98,5.28
2025-08-21,2260,99,5.29
2025-08-22,2340,75,5.3
2025-08-23,2420,76,5.31
2025-08-24,2500,77,5.32
2025-08-25,2230,78,5.33
2025-08-26,2310,79,5.34
2025-08-27,2390,80,5.25
2025-08-28,2470,81,5.26
2025-08-29,2550,82,5.27
2025-08-30,2630,83,5.28
2025-08-31,2200,84,5.29
2025-09-01,1930,85,5.3
2025-09-02,2010,86,5.31
2025-09-03,2090,87,5.32
2025-09-04,2170,88,5.33
2025-09-05,2250,89,5.34
2025-09-06,2330,90,5.25
2025-09-07,2410,91,5.26
2025-09-08,2140,92,5.27
2025-09-09,2220,93,5.28
2025-09-10,2300,94,5.29
2025-09-11,2380,95,5.3
2025-09-12,2460,96,5.31
2025-09-13,2540,97,5.32
2025-09-14,2620,98,5.33
2025-09-15,2350,99,5.34
2025-09-16,2430,75,5.25
2025-09-17,2000,76,5.26
2025-09-18,2080,77,5.27
2025-09-19,2160,78,5.28
2025-09-20,2240,79,5.29
2025-09-21,2320,80,5.3
2025-09-22,2050,81,5.31
2025-09-23,2130,82,5.32
2025-09-24,2210,83,5.33
2025-09-25,2290,84,5.34
2025-09-26,2370,85,5.25
2025-09-27,2450,86,5.26
2025-09-28,2530,87,5.27
2025-09-29,2260,88,5.28
2025-09-30,2340,89,5.29
2025-10-01,2420,90,5.3
2025-10-02,2500,91,5.31
2025-10-03,2580,92,5.32
2025-10-04,2150,93,5.33
2025-10-05,2230,94,5.34
2025-10-06,1960,95,5.25
2025-10-07,2040,96,5.26
2025-10-08,2120,97,5.27
2025-10-09,2200,98,5.28
2025-10-10,2280,99,5.29
2025-10-11,2360,75,5.3
2025-10-12,2440,76,5.31
2025-10-13,2170,77,5.32
2025-10-14,2250,78,5.33
2025-10-15,2330,79,5.34
2025-10-16,2410,80,5.25
2025-10-17,2490,81,5.26
2025-10-18,2570,82,5.27
2025-10-19,2650,83,5.28
2025-10-20,2380,84,5.29
2025-10-21,1950,85,5.3
2025-10-22,2030,86,5.31
2025-10-23,2110,87,5.32
2025-10-24,2190,88,5.33
2025-10-25,2270,89,5.34
2025-10-26,2350,90,5.25
